engine;iter;model;width;depth;int_delay;ext_delay;model_time;runner_time;sim_time;total_time
xdevs-rs-no_std-f64;7;LI;12;12;0;0;0,000337;0,00002;0,000351;0,000708
xdevs-rs-no_std-f64;8;LI;12;12;0;0;0,000338;0,00002;0,000351;0,000709
xdevs-rs-no_std-f64;9;LI;12;12;0;0;0,000337;0,00002;0,000351;0,000708
xdevs-rs-no_std-f64;0;LI;14;14;0;0;0,00043;0,000018;0,000429;0,000877
xdevs-rs-no_std-f64;1;LI;14;14;0;0;0,00043;0,000019;0,000429;0,000878
xdevs-rs-no_std-f64;2;LI;14;14;0;0;0,00043;0,000018;0,000429;0,000877
xdevs-rs-no_std-f64;3;LI;14;14;0;0;0,000431;0,000018;0,000429;0,000878
xdevs-rs-no_std-f64;4;LI;14;14;0;0;0,00043;0,000018;0,000429;0,000877
xdevs-rs-no_std-f64;5;LI;14;14;0;0;0,00043;0,000018;0,000429;0,000877
xdevs-rs-no_std-f64;6;LI;14;14;0;0;0,00043;0,000019;0,000429;0,000878
xdevs-rs-no_std-f64;7;LI;14;14;0;0;0,00043;0,000019;0,000429;0,000878
xdevs-rs-no_std-f64;8;LI;14;14;0;0;0,00043;0,000018;0,000429;0,000877
xdevs-rs-no_std-f64;9;LI;14;14;0;0;0,00043;0,000018;0,000429;0,000877
xdevs-rs-no_std-f64;0;LI;16;16;0;0;0,00053;0,000022;0,000523;0,001075
xdevs-rs-no_std-f64;1;LI;16;16;0;0;0,000531;0,000021;0,000522;0,001074
xdevs-rs-no_std-f64;2;LI;16;16;0;0;0,000531;0,000021;0,000522;0,001074
xdevs-rs-no_std-f64;3;LI;16;16;0;0;0,00053;0,000022;0,000523;0,001075
xdevs-rs-no_std-f64;4;LI;16;16;0;0;0,00053;0,000022;0,000523;0,001075
xdevs-rs-no_std-f64;5;LI;16;16;0;0;0,000531;0,000021;0,000522;0,001074
xdevs-rs-no_std-f64;6;LI;16;16;0;0;0,00053;0,000022;0,000523;0,001075
xdevs-rs-no_std-f64;7;LI;16;16;0;0;0,00053;0,000022;0,000523;0,001075
xdevs-rs-no_std-f64;8;LI;16;16;0;0;0,000531;0,000021;0,000522;0,001074
xdevs-rs-no_std-f64;9;LI;16;16;0;0;0,000531;0,000021;0,000522;0,001074
xdevs-rs-no_std-f64;0;LI;18;18;0;0;0,000643;0,00002;0,00063;0,001293
xdevs-rs-no_std-f64;1;LI;18;18;0;0;0,000643;0,00002;0,00063;0,001293
xdevs-rs-no_std-f64;2;LI;18;18;0;0;0,000643;0,00002;0,000629;0,001292
xdevs-rs-no_std-f64;3;LI;18;18;0;0;0,000643;0,000021;0,00063;0,001294
xdevs-rs-no_std-f64;4;LI;18;18;0;0;0,000643;0,00002;0,00063;0,001293
xdevs-rs-no_std-f64;5;LI;18;18;0;0;0,000643;0,00002;0,00063;0,001293
xdevs-rs-no_std-f64;6;LI;18;18;0;0;0,000643;0,00002;0,00063;0,001293
xdevs-rs-no_std-f64;7;LI;18;18;0;0;0,000643;0,00002;0,00063;0,001293
xdevs-rs-no_std-f64;8;LI;18;18;0;0;0,000643;0,00002;0,00063;0,001293
xdevs-rs-no_std-f64;9;LI;18;18;0;0;0,000643;0,00002;0,00063;0,001293
xdevs-rs-no_std-f64;0;LI;20;20;0;0;0,000766;0,000021;0,000736;0,001523
xdevs-rs-no_std-f64;1;LI;20;20;0;0;0,000765;0,000021;0,000736;0,001522
xdevs-rs-no_std-f64;2;LI;20;20;0;0;0,000765;0,000021;0,000736;0,001522
xdevs-rs-no_std-f64;3;LI;20;20;0;0;0,000765;0,000021;0,000735;0,001521
xdevs-rs-no_std-f64;4;LI;20;20;0;0;0,000765;0,000021;0,000735;0,001521
xdevs-rs-no_std-f64;5;LI;20;20;0;0;0,000765;0,000021;0,000736;0,001522
xdevs-rs-no_std-f64;6;LI;20;20;0;0;0,000765;0,000021;0,000735;0,001521
xdevs-rs-no_std-f64;7;LI;20;20;0;0;0,000766;0,00002;0,000736;0,001522
xdevs-rs-no_std-f64;8;LI;20;20;0;0;0,000765;0,000021;0,000736;0,001522
xdevs-rs-no_std-f64;9;LI;20;20;0;0;0,000765;0,000021;0,000736;0,001522
xdevs-rs-no_std-f64;0;LI;22;22;0;0;0,000898;0,000022;0,000869;0,001789
xdevs-rs-no_std-f64;1;LI;22;22;0;0;0,000897;0,000022;0,000869;0,001788
xdevs-rs-no_std-f64;2;LI;22;22;0;0;0,000898;0,000022;0,000869;0,001789
xdevs-rs-no_std-f64;3;LI;22;22;0;0;0,000898;0,000022;0,000869;0,001789
xdevs-rs-no_std-f64;4;LI;22;22;0;0;0,000898;0,000022;0,000869;0,001789
xdevs-rs-no_std-f64;5;LI;22;22;0;0;0,000898;0,000022;0,000869;0,001789
xdevs-rs-no_std-f64;6;LI;22;22;0;0;0,000898;0,000021;0,000869;0,001788
xdevs-rs-no_std-f64;7;LI;22;22;0;0;0,000898;0,000022;0,000869;0,001789
xdevs-rs-no_std-f64;8;LI;22;22;0;0;0,000898;0,000022;0,000869;0,001789
xdevs-rs-no_std-f64;9;LI;22;22;0;0;0,000898;0,000022;0,000868;0,001788
xdevs-rs-no_std-f64;0;LI;24;24;0;0;0,001035;0,000024;0,001008;0,002067
xdevs-rs-no_std-f64;1;LI;24;24;0;0;0,001035;0,000024;0,001008;0,002067
xdevs-rs-no_std-f64;2;LI;24;24;0;0;0,001036;0,000023;0,001008;0,002067
xdevs-rs-no_std-f64;3;LI;24;24;0;0;0,001035;0,000024;0,001008;0,002067
xdevs-rs-no_std-f64;4;LI;24;24;0;0;0,001035;0,000024;0,001007;0,002066
xdevs-rs-no_std-f64;5;LI;24;24;0;0;0,001035;0,000024;0,001008;0,002067
xdevs-rs-no_std-f64;6;LI;24;24;0;0;0,001036;0,000023;0,001008;0,002067
xdevs-rs-no_std-f64;7;LI;24;24;0;0;0,001035;0,000024;0,001008;0,002067
xdevs-rs-no_std-f64;8;LI;24;24;0;0;0,001035;0,000024;0,001008;0,002067
xdevs-rs-no_std-f64;9;LI;24;24;0;0;0,001035;0,000023;0,001007;0,002065
xdevs-rs-no_std-f64;0;LI;26;26;0;0;0,001208;0,000022;0,001162;0,002392
xdevs-rs-no_std-f64;1;LI;26;26;0;0;0,001208;0,000022;0,001162;0,002392
xdevs-rs-no_std-f64;2;LI;26;26;0;0;0,001207;0,000021;0,001162;0,00239
xdevs-rs-no_std-f64;3;LI;26;26;0;0;0,001207;0,000022;0,001162;0,002391
xdevs-rs-no_std-f64;4;LI;26;26;0;0;0,001207;0,000021;0,001162;0,00239
xdevs-rs-no_std-f64;5;LI;26;26;0;0;0,001207;0,000021;0,001162;0,00239
