engine;iter;model;width;depth;int_delay;ext_delay;model_time;runner_time;sim_time;total_time
xdevs-rs-no_std-f64;7;HO;12;12;0;0;0,000366;0,000023;0,002012;0,002401
xdevs-rs-no_std-f64;8;HO;12;12;0;0;0,000365;0,000023;0,002012;0,0024
xdevs-rs-no_std-f64;9;HO;12;12;0;0;0,000366;0,000023;0,002011;0,0024
xdevs-rs-no_std-f64;0;HO;14;14;0;0;0,000452;0,000021;0,003112;0,003585
xdevs-rs-no_std-f64;1;HO;14;14;0;0;0,000452;0,00002;0,003112;0,003584
xdevs-rs-no_std-f64;2;HO;14;14;0;0;0,000451;0,00002;0,003112;0,003583
xdevs-rs-no_std-f64;3;HO;14;14;0;0;0,000451;0,00002;0,003112;0,003583
xdevs-rs-no_std-f64;4;HO;14;14;0;0;0,000451;0,00002;0,003112;0,003583
xdevs-rs-no_std-f64;5;HO;14;14;0;0;0,000452;0,000021;0,003112;0,003585
xdevs-rs-no_std-f64;6;HO;14;14;0;0;0,000451;0,00002;0,003112;0,003583
xdevs-rs-no_std-f64;7;HO;14;14;0;0;0,000451;0,00002;0,003112;0,003583
xdevs-rs-no_std-f64;8;HO;14;14;0;0;0,000451;0,00002;0,003112;0,003583
xdevs-rs-no_std-f64;9;HO;14;14;0;0;0,000451;0,00002;0,003112;0,003583
xdevs-rs-no_std-f64;0;HO;16;16;0;0;0,00056;0,000022;0,004597;0,005179
xdevs-rs-no_std-f64;1;HO;16;16;0;0;0,000561;0,000022;0,004596;0,005179
xdevs-rs-no_std-f64;2;HO;16;16;0;0;0,00056;0,000023;0,004597;0,00518
xdevs-rs-no_std-f64;3;HO;16;16;0;0;0,00056;0,000023;0,004596;0,005179
xdevs-rs-no_std-f64;4;HO;16;16;0;0;0,00056;0,000023;0,004597;0,00518
xdevs-rs-no_std-f64;5;HO;16;16;0;0;0,00056;0,000022;0,004597;0,005179
xdevs-rs-no_std-f64;6;HO;16;16;0;0;0,00056;0,000023;0,004597;0,00518
xdevs-rs-no_std-f64;7;HO;16;16;0;0;0,00056;0,000023;0,004596;0,005179
xdevs-rs-no_std-f64;8;HO;16;16;0;0;0,00056;0,000022;0,004596;0,005178
xdevs-rs-no_std-f64;9;HO;16;16;0;0;0,00056;0,000023;0,004596;0,005179
xdevs-rs-no_std-f64;0;HO;18;18;0;0;0,000669;0,000021;0,006472;0,007162
xdevs-rs-no_std-f64;1;HO;18;18;0;0;0,000669;0,000021;0,006471;0,007161
xdevs-rs-no_std-f64;2;HO;18;18;0;0;0,000669;0,000021;0,006472;0,007162
xdevs-rs-no_std-f64;3;HO;18;18;0;0;0,000669;0,000021;0,006472;0,007162
xdevs-rs-no_std-f64;4;HO;18;18;0;0;0,000668;0,000022;0,006472;0,007162
xdevs-rs-no_std-f64;5;HO;18;18;0;0;0,000668;0,000021;0,006471;0,00716
xdevs-rs-no_std-f64;6;HO;18;18;0;0;0,000668;0,000022;0,006471;0,007161
xdevs-rs-no_std-f64;7;HO;18;18;0;0;0,000668;0,000022;0,006471;0,007161
xdevs-rs-no_std-f64;8;HO;18;18;0;0;0,000669;0,000021;0,006472;0,007162
xdevs-rs-no_std-f64;9;HO;18;18;0;0;0,000669;0,000021;0,006472;0,007162
xdevs-rs-no_std-f64;0;HO;20;20;0;0;0,000788;0,000022;0,008594;0,009404
xdevs-rs-no_std-f64;1;HO;20;20;0;0;0,000788;0,000022;0,008594;0,009404
xdevs-rs-no_std-f64;2;HO;20;20;0;0;0,000788;0,000022;0,008593;0,009403
xdevs-rs-no_std-f64;3;HO;20;20;0;0;0,000787;0,000022;0,008593;0,009402
xdevs-rs-no_std-f64;4;HO;20;20;0;0;0,000787;0,000022;0,008594;0,009403
xdevs-rs-no_std-f64;5;HO;20;20;0;0;0,000787;0,000022;0,008594;0,009403
xdevs-rs-no_std-f64;6;HO;20;20;0;0;0,000787;0,000022;0,008594;0,009403
xdevs-rs-no_std-f64;7;HO;20;20;0;0;0,000787;0,000022;0,008594;0,009403
xdevs-rs-no_std-f64;8;HO;20;20;0;0;0,000787;0,000022;0,008594;0,009403
xdevs-rs-no_std-f64;9;HO;20;20;0;0;0,000787;0,000022;0,008593;0,009402
xdevs-rs-no_std-f64;0;HO;22;22;0;0;0,000924;0,000022;0,011425;0,012371
xdevs-rs-no_std-f64;1;HO;22;22;0;0;0,000924;0,000022;0,011425;0,012371
xdevs-rs-no_std-f64;2;HO;22;22;0;0;0,000924;0,000022;0,011425;0,012371
xdevs-rs-no_std-f64;3;HO;22;22;0;0;0,000923;0,000022;0,011426;0,012371
xdevs-rs-no_std-f64;4;HO;22;22;0;0;0,000924;0,000022;0,011425;0,012371
xdevs-rs-no_std-f64;5;HO;22;22;0;0;0,000923;0,000022;0,011426;0,012371
xdevs-rs-no_std-f64;6;HO;22;22;0;0;0,000924;0,000022;0,011425;0,012371
xdevs-rs-no_std-f64;7;HO;22;22;0;0;0,000923;0,000021;0,011426;0,01237
xdevs-rs-no_std-f64;8;HO;22;22;0;0;0,000923;0,000022;0,011425;0,01237
xdevs-rs-no_std-f64;9;HO;22;22;0;0;0,000923;0,000022;0,011426;0,012371
xdevs-rs-no_std-f64;0;HO;24;24;0;0;0,001061;0,000024;0,014845;0,01593
xdevs-rs-no_std-f64;1;HO;24;24;0;0;0,001061;0,000025;0,014845;0,015931
xdevs-rs-no_std-f64;2;HO;24;24;0;0;0,001061;0,000024;0,014844;0,015929
xdevs-rs-no_std-f64;3;HO;24;24;0;0;0,001061;0,000024;0,014845;0,01593
xdevs-rs-no_std-f64;4;HO;24;24;0;0;0,001061;0,000025;0,014845;0,015931
xdevs-rs-no_std-f64;5;HO;24;24;0;0;0,001061;0,000024;0,014845;0,01593
xdevs-rs-no_std-f64;6;HO;24;24;0;0;0,001061;0,000025;0,014845;0,015931
xdevs-rs-no_std-f64;7;HO;24;24;0;0;0,001061;0,000024;0,014844;0,015929
xdevs-rs-no_std-f64;8;HO;24;24;0;0;0,001061;0,000024;0,014845;0,01593
xdevs-rs-no_std-f64;9;HO;24;24;0;0;0,001061;0,000024;0,014844;0,015929
xdevs-rs-no_std-f64;0;HO;26;26;0;0;0,001204;0,000028;0,018875;0,020107
xdevs-rs-no_std-f64;1;HO;26;26;0;0;0,001205;0,000028;0,018875;0,020108
xdevs-rs-no_std-f64;2;HO;26;26;0;0;0,001205;0,000028;0,018875;0,020108
xdevs-rs-no_std-f64;3;HO;26;26;0;0;0,001204;0,000028;0,018875;0,020107
xdevs-rs-no_std-f64;4;HO;26;26;0;0;0,001205;0,000028;0,018874;0,020107
xdevs-rs-no_std-f64;5;HO;26;26;0;0;0,001204;0,000028;0,018875;0,020107
xdevs-rs-no_std-f64;6;HO;26;26;0;0;0,001205;0,000027;0,018875;0,020107
xdevs-rs-no_std-f64;7;HO;26;26;0;0;0,001204;0,000028;0,018875;0,020107
xdevs-rs-no_std-f64;8;HO;26;26;0;0;0,001204;0,000028;0,018875;0,020107
xdevs-rs-no_std-f64;9;HO;26;26;0;0;0,001204;0,000028;0,018875;0,020107
xdevs-rs-no_std-f64;0;HO;28;28;0;0;0,001354;0,000025;0,023107;0,024486
xdevs-rs-no_std-f64;1;HO;28;28;0;0;0,001355;0,000025;0,023107;0,024487
xdevs-rs-no_std-f64;2;HO;28;28;0;0;0,001354;0,000025;0,023107;0,024486
xdevs-rs-no_std-f64;3;HO;28;28;0;0;0,001355;0,000025;0,023107;0,024487
xdevs-rs-no_std-f64;4;HO;28;28;0;0;0,001354;0,000025;0,023106;0,024485
xdevs-rs-no_std-f64;5;HO;28;28;0;0;0,001355;0,000025;0,023107;0,024487
xdevs-rs-no_std-f64;6;HO;28;28;0;0;0,001355;0,000025;0,023107;0,024487
xdevs-rs-no_std-f64;7;HO;28;28;0;0;0,001355;0,000025;0,023107;0,024487
xdevs-rs-no_std-f64;8;HO;28;28;0;0;0,001355;0,000025;0,023107;0,024487
xdevs-rs-no_std-f64;9;HO;28;28;0;0;0,001355;0,000024;0,023107;0,024486
xdevs-rs-no_std-f64;0;HO;30;30;0;0;0,001554;0,000028;0,028609;0,030191
xdevs-rs-no_std-f64;1;HO;30;30;0;0;0,001555;0,000028;0,028609;0,030192
xdevs-rs-no_std-f64;2;HO;30;30;0;0;0,001554;0,000028;0,02861;0,030192
xdevs-rs-no_std-f64;3;HO;30;30;0;0;0,001554;0,000028;0,002861;0,004443
xdevs-rs-no_std-f64;4;HO;30;30;0;0;0,001555;0,000028;0,02861;0,030193
xdevs-rs-no_std-f64;5;HO;30;30;0;0;0,001554;0,000028;0,02861;0,030192
xdevs-rs-no_std-f64;6;HO;30;30;0;0;0,001554;0,000028;0,02861;0,030192
xdevs-rs-no_std-f64;7;HO;30;30;0;0;0,001554;0,000028;0,02861;0,030192
xdevs-rs-no_std-f64;8;HO;30;30;0;0;0,001554;0,000028;0,028609;0,030191
xdevs-rs-no_std-f64;9;HO;30;30;0;0;0,001554;0,000029;0,028609;0,030192
