engine;iter;model;width;depth;int_delay;ext_delay;model_time;runner_time;sim_time;total_time
xdevs-rs-no_std-f64;3;HI;2;12;0;0;0.000132;2.1e-05;0.000218;0.000371
xdevs-rs-no_std-f64;4;HI;2;12;0;0;0.000132;2e-05;0.000218;0.00037
xdevs-rs-no_std-f64;5;HI;2;12;0;0;0.000131;2.1e-05;0.000218;0.00037
xdevs-rs-no_std-f64;6;HI;2;12;0;0;0.000132;2.1e-05;0.000218;0.000371
xdevs-rs-no_std-f64;7;HI;2;12;0;0;0.000132;2.1e-05;0.000218;0.000371
xdevs-rs-no_std-f64;8;HI;2;12;0;0;0.000131;2e-05;0.000218;0.000369
xdevs-rs-no_std-f64;9;HI;2;12;0;0;0.000131;2.1e-05;0.000218;0.00037
xdevs-rs-no_std-f64;0;HI;2;14;0;0;0.000151;1.8e-05;0.000232;0.000401
xdevs-rs-no_std-f64;1;HI;2;14;0;0;0.000151;1.8e-05;0.000232;0.000401
xdevs-rs-no_std-f64;2;HI;2;14;0;0;0.00015;1.7e-05;0.000232;0.000399
xdevs-rs-no_std-f64;3;HI;2;14;0;0;0.00015;1.7e-05;0.000232;0.000399
xdevs-rs-no_std-f64;4;HI;2;14;0;0;0.00015;1.7e-05;0.000232;0.000399
xdevs-rs-no_std-f64;5;HI;2;14;0;0;0.000151;1.8e-05;0.000232;0.000401
xdevs-rs-no_std-f64;6;HI;2;14;0;0;0.000151;1.8e-05;0.000232;0.000401
xdevs-rs-no_std-f64;7;HI;2;14;0;0;0.00015;1.7e-05;0.000232;0.000399
xdevs-rs-no_std-f64;8;HI;2;14;0;0;0.000151;1.8e-05;0.000233;0.000402
xdevs-rs-no_std-f64;9;HI;2;14;0;0;0.000151;1.8e-05;0.000233;0.000402
xdevs-rs-no_std-f64;0;HI;2;16;0;0;0.000168;1.9e-05;0.000249;0.000436
xdevs-rs-no_std-f64;1;HI;2;16;0;0;0.000169;1.9e-05;0.00025;0.000438
xdevs-rs-no_std-f64;2;HI;2;16;0;0;0.000168;1.8e-05;0.000249;0.000435
xdevs-rs-no_std-f64;3;HI;2;16;0;0;0.000168;1.9e-05;0.000249;0.000436
xdevs-rs-no_std-f64;4;HI;2;16;0;0;0.000169;1.8e-05;0.000249;0.000436
xdevs-rs-no_std-f64;5;HI;2;16;0;0;0.000169;1.8e-05;0.00025;0.000437
xdevs-rs-no_std-f64;6;HI;2;16;0;0;0.000169;1.8e-05;0.00025;0.000437
xdevs-rs-no_std-f64;7;HI;2;16;0;0;0.000168;1.9e-05;0.000249;0.000436
xdevs-rs-no_std-f64;8;HI;2;16;0;0;0.000169;1.8e-05;0.00025;0.000437
xdevs-rs-no_std-f64;9;HI;2;16;0;0;0.000169;1.9e-05;0.00025;0.000438
xdevs-rs-no_std-f64;0;HI;2;18;0;0;0.000184;2.2e-05;0.000267;0.000473
xdevs-rs-no_std-f64;1;HI;2;18;0;0;0.000184;2.1e-05;0.000267;0.000472
xdevs-rs-no_std-f64;2;HI;2;18;0;0;0.000184;2.1e-05;0.000267;0.000472
xdevs-rs-no_std-f64;3;HI;2;18;0;0;0.000183;2.1e-05;0.000268;0.000472
xdevs-rs-no_std-f64;4;HI;2;18;0;0;0.000184;2.1e-05;0.000267;0.000472
xdevs-rs-no_std-f64;5;HI;2;18;0;0;0.000183;2.1e-05;0.000268;0.000472
xdevs-rs-no_std-f64;6;HI;2;18;0;0;0.000184;2.1e-05;0.000267;0.000472
xdevs-rs-no_std-f64;7;HI;2;18;0;0;0.000183;2.1e-05;0.000268;0.000472
xdevs-rs-no_std-f64;8;HI;2;18;0;0;0.000184;2.1e-05;0.000267;0.000472
xdevs-rs-no_std-f64;9;HI;2;18;0;0;0.000183;2.1e-05;0.000267;0.000471
xdevs-rs-no_std-f64;0;HI;2;20;0;0;0.000204;1.8e-05;0.000281;0.000503
xdevs-rs-no_std-f64;1;HI;2;20;0;0;0.000205;1.8e-05;0.000281;0.000504
xdevs-rs-no_std-f64;2;HI;2;20;0;0;0.000205;1.8e-05;0.000282;0.000505
xdevs-rs-no_std-f64;3;HI;2;20;0;0;0.000204;1.8e-05;0.000281;0.000503
xdevs-rs-no_std-f64;4;HI;2;20;0;0;0.000205;1.8e-05;0.000281;0.000504
xdevs-rs-no_std-f64;5;HI;2;20;0;0;0.000205;1.8e-05;0.000281;0.000504
xdevs-rs-no_std-f64;6;HI;2;20;0;0;0.000204;1.8e-05;0.000281;0.000503
xdevs-rs-no_std-f64;7;HI;2;20;0;0;0.000205;1.8e-05;0.000281;0.000504
xdevs-rs-no_std-f64;8;HI;2;20;0;0;0.000205;1.8e-05;0.000282;0.000505
xdevs-rs-no_std-f64;9;HI;2;20;0;0;0.000204;1.8e-05;0.000281;0.000503
xdevs-rs-no_std-f64;0;HI;2;22;0;0;0.000218;1.9e-05;0.000303;0.00054
xdevs-rs-no_std-f64;1;HI;2;22;0;0;0.000218;2e-05;0.000303;0.000541
xdevs-rs-no_std-f64;2;HI;2;22;0;0;0.000218;2e-05;0.000303;0.000541
xdevs-rs-no_std-f64;3;HI;2;22;0;0;0.000218;2e-05;0.000303;0.000541
xdevs-rs-no_std-f64;4;HI;2;22;0;0;0.000218;2e-05;0.000303;0.000541
xdevs-rs-no_std-f64;5;HI;2;22;0;0;0.000218;1.9e-05;0.000303;0.00054
xdevs-rs-no_std-f64;6;HI;2;22;0;0;0.000217;2e-05;0.000303;0.00054
xdevs-rs-no_std-f64;7;HI;2;22;0;0;0.000218;2e-05;0.000303;0.000541
xdevs-rs-no_std-f64;8;HI;2;22;0;0;0.000218;2e-05;0.000303;0.000541
xdevs-rs-no_std-f64;9;HI;2;22;0;0;0.000217;2e-05;0.000303;0.00054
xdevs-rs-no_std-f64;0;HI;2;24;0;0;0.000237;1.8e-05;0.000313;0.000568
xdevs-rs-no_std-f64;1;HI;2;24;0;0;0.000237;1.7e-05;0.000312;0.000566
xdevs-rs-no_std-f64;2;HI;2;24;0;0;0.000237;1.8e-05;0.000312;0.000567
xdevs-rs-no_std-f64;3;HI;2;24;0;0;0.000236;1.7e-05;0.000312;0.000565
xdevs-rs-no_std-f64;4;HI;2;24;0;0;0.000237;1.7e-05;0.000312;0.000566
xdevs-rs-no_std-f64;5;HI;2;24;0;0;0.000237;1.7e-05;0.000312;0.000566
xdevs-rs-no_std-f64;6;HI;2;24;0;0;0.000237;1.7e-05;0.000312;0.000566
xdevs-rs-no_std-f64;7;HI;2;24;0;0;0.000237;1.8e-05;0.000312;0.000567
xdevs-rs-no_std-f64;8;HI;2;24;0;0;0.000237;1.8e-05;0.000312;0.000567
xdevs-rs-no_std-f64;9;HI;2;24;0;0;0.000237;1.7e-05;0.000312;0.000566
xdevs-rs-no_std-f64;0;HI;2;26;0;0;0.000255;2.1e-05;0.000332;0.000608
xdevs-rs-no_std-f64;1;HI;2;26;0;0;0.000256;2.1e-05;0.000332;0.000609
xdevs-rs-no_std-f64;2;HI;2;26;0;0;0.000256;2.1e-05;0.000332;0.000609
xdevs-rs-no_std-f64;3;HI;2;26;0;0;0.000256;2.1e-05;0.000332;0.000609
xdevs-rs-no_std-f64;4;HI;2;26;0;0;0.000256;2.1e-05;0.000332;0.000609
xdevs-rs-no_std-f64;5;HI;2;26;0;0;0.000255;2.1e-05;0.000332;0.000608
xdevs-rs-no_std-f64;6;HI;2;26;0;0;0.000256;2.1e-05;0.000332;0.000609
xdevs-rs-no_std-f64;7;HI;2;26;0;0;0.000255;2.1e-05;0.000332;0.000608
xdevs-rs-no_std-f64;8;HI;2;26;0;0;0.000255;2.1e-05;0.000332;0.000608
xdevs-rs-no_std-f64;9;HI;2;26;0;0;0.000255;2.1e-05;0.000332;0.000608
xdevs-rs-no_std-f64;0;HI;2;28;0;0;0.000272;1.7e-05;0.000346;0.000635
xdevs-rs-no_std-f64;1;HI;2;28;0;0;0.000273;1.8e-05;0.000346;0.000637
xdevs-rs-no_std-f64;2;HI;2;28;0;0;0.000272;1.7e-05;0.000347;0.000636
xdevs-rs-no_std-f64;3;HI;2;28;0;0;0.000272;1.8e-05;0.000346;0.000636
xdevs-rs-no_std-f64;4;HI;2;28;0;0;0.000272;1.7e-05;0.000347;0.000636
xdevs-rs-no_std-f64;5;HI;2;28;0;0;0.000272;1.7e-05;0.000347;0.000636
xdevs-rs-no_std-f64;6;HI;2;28;0;0;0.000272;1.7e-05;0.000347;0.000636
xdevs-rs-no_std-f64;7;HI;2;28;0;0;0.000272;1.7e-05;0.000347;0.000636
xdevs-rs-no_std-f64;8;HI;2;28;0;0;0.000272;1.8e-05;0.000346;0.000636
xdevs-rs-no_std-f64;9;HI;2;28;0;0;0.000272;1.8e-05;0.000346;0.000636
xdevs-rs-no_std-f64;0;HI;2;30;0;0;0.000289;1.8e-05;0.000364;0.000671
xdevs-rs-no_std-f64;1;HI;2;30;0;0;0.00029;1.8e-05;0.000363;0.000671
xdevs-rs-no_std-f64;2;HI;2;30;0;0;0.00029;1.8e-05;0.000363;0.000671
xdevs-rs-no_std-f64;3;HI;2;30;0;0;0.000289;1.8e-05;0.000364;0.000671
xdevs-rs-no_std-f64;4;HI;2;30;0;0;0.000289;1.9e-05;0.000364;0.000672
xdevs-rs-no_std-f64;5;HI;2;30;0;0;0.00029;1.8e-05;0.000363;0.000671
xdevs-rs-no_std-f64;6;HI;2;30;0;0;0.000289;1.8e-05;0.000364;0.000671
xdevs-rs-no_std-f64;7;HI;2;30;0;0;0.000289;1.9e-05;0.000364;0.000672
xdevs-rs-no_std-f64;8;HI;2;30;0;0;0.00029;1.9e-05;0.000364;0.000673
